country,iso3,image,idb,01Feb20,01Mar20,01Apr20,01May20,01Jun20,01Jul20,01Aug20,01Sep20,01Oct20,01Nov20,01Dec20
Uruguay,URY,https://www.countryflags.io/uy/flat/64.png,1,0,-93000,-120000,-98000,-81000,-79000,-78000,-62000,-45000,-36000,-36000
Paraguay,PRY,https://www.countryflags.io/py/flat/64.png,1,0,0,0,0,-187395,-187395,-187395,-2147,-2147,-2147,-2147
Peru,PER,https://www.countryflags.io/pe/flat/64.png,1,0,-173600,-1342700,-2448400,-2799700,-2062300,-1386300,-1247700,-1124800,-854900,-641800
Mexico,MEX,https://www.countryflags.io/mx/flat/64.png,1,0,7741,-12453100,-12169115,-7419722,-5967097,-5313637,-4643753,-2779113,-2813600,-2908620
Ecuador,ECU,https://www.countryflags.io/ec/flat/64.png,1,0,0,0,0,-1192289,-1192289,-1192289,-436289,-436289,-436289,-436289
Dominican Republic,DOM,https://www.countryflags.io/do/flat/64.png,1,0,0,0,0,-359179,-359179,-359179,-310365,-310365,-310365,-310365
Costa Rica,CRI,https://www.countryflags.io/cr/flat/64.png,1,0,0,0,0,-462918,-462918,-403814,-362066,-330347,-301889,-255024
Colombia,COL,https://www.countryflags.io/co/flat/64.png,1,0,-1475184,-5481163,-4743404,-3661166,-4022235,-2308706,-1773843,-731242,-693213,-596679
Chile,CHL,https://www.countryflags.io/cl/flat/64.png,1,0,-120949,-827443,-1612851,-1920986,-1990181,-1871164,-1698319,-1395715,-1146650,-1037157
Brazil,BRA,https://www.countryflags.io/br/flat/64.png,1,0,-1487000,-4469000,-7774000,-10363000,-11683000,-12044000,-11246000,-9409000,-8132000,-8132000
Bolivia,BOL,https://www.countryflags.io/bo/flat/64.png,1,0,-134654,-481259,-584105,-489835,-516746,-438981,-256952,-192756,11452,125375
Argentina,ARG,https://www.countryflags.io/ar/flat/64.png,1,0,0,0,0,-2499120,-2499120,-2499120,-1329249,-1329249,-1329249,-1329249
