country,iso3,image,idb,01Feb20,01Mar20,01Apr20,01May20,01Jun20,01Jul20,01Aug20,01Sep20,01Oct20,01Nov20,01Dec20,01Jan21,01Feb21
Uruguay,URY,https://www.countryflags.io/uy/flat/64.png,1,0,-5.719556808,-7.380073547,-6.027060509,-4.98154974,-4.858548641,-4.797048092,-3.813038111,-2.76752758,-2.21402216,-2.521525145,-2.521525145,-2.521525145
Paraguay,PRY,https://www.countryflags.io/py/flat/64.png,1,0,0,0,0,-5.642612457,-5.642612457,-5.642612457,-.0646478757,-.0646478757,-.0646478757,4.003892899,4.003892899,4.003892899
Peru,PER,https://www.countryflags.io/pe/flat/64.png,1,0,-3.473667383,-26.86689568,-48.99151611,-56.0208931,-41.26580811,-27.73931694,-24.96598434,-22.50680351,-17.10621071,-12.84216499,-11.18536854,-15.25532341
Mexico,MEX,https://www.countryflags.io/mx/flat/64.png,1,0,.0138857225,-22.33823776,-21.82882881,-13.30941772,-10.70371532,-9.531545639,-8.329914093,-4.985143185,-5.047005653,-5.217451572,-6.802847385,-6.802847385
Ecuador,ECU,https://www.countryflags.io/ec/flat/64.png,1,0,0,0,0,-15.30951595,-15.30951595,-15.30951595,-5.602142811,-5.602142811,-5.602142811,-5.602142811,-5.602142811,-5.602142811
Dominican Republic,DOM,https://www.countryflags.io/do/flat/64.png,1,0,0,0,0,-7.798281193,-7.798281193,-7.798281193,-6.738461018,-6.738461018,-6.738461018,-6.738461018,-6.738461018,-6.738461018
Costa Rica,CRI,https://www.countryflags.io/cr/flat/64.png,1,0,0,0,0,-20.96382904,-20.96382904,-20.96382904,-16.39661598,-16.39661598,-16.39661598,-11.54908466,-11.54908466,-11.54908466
Colombia,COL,https://www.countryflags.io/co/flat/64.png,1,0,-6.703617573,-24.90782166,-21.55525398,-16.63728523,-18.27807617,-10.49135685,-8.060800552,-3.322952509,-3.150139093,-2.71146369,-9.261144638,-9.261144638
Chile,CHL,https://www.countryflags.io/cl/flat/64.png,1,0,-1.334481001,-9.129525185,-17.79525948,-21.19504166,-21.95849991,-20.64533615,-18.73826408,-15.39950848,-12.65146923,-11.44338799,-10.39297295,-10.39297295
Brazil,BRA,https://www.countryflags.io/br/flat/64.png,1,0,-1.58681035,-4.768968105,-8.295806885,-11.05858517,-12.46718597,-12.85241699,-12.00085354,-10.04055023,-8.677835464,-8.036496162,-8.036496162,-8.036496162
Bolivia,BOL,https://www.countryflags.io/bo/flat/64.png,1,0,-3.612544775,-12.91138554,-15.67057514,-13.14146519,-13.86344433,-11.7771368,-6.893599033,-5.171325684,.3072382808,3.363604784,1.209475756,1.209475756
Argentina,ARG,https://www.countryflags.io/ar/flat/64.png,1,0,0,0,0,-20.74784851,-20.74784851,-20.74784851,-11.03550816,-11.03550816,-11.03550816,-11.03550816,-11.03550816,-11.03550816
