country,iso3,image,idb,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Uruguay,URY,https://www.countryflags.io/uy/flat/64.png,1,0,-5.719556808,-7.380073547,-6.027060509,-4.98154974,-4.858548641,-4.797048092,-3.813038111,-2.76752758,-2.21402216,.
Mexico,MEX,https://www.countryflags.io/mx/flat/64.png,1,0,0.013885723,-22.33823776,-21.82882881,-13.30941772,-10.70371532,-9.531545639,-8.329914093,-4.985143185,-5.047005653,-5.217451572
Ecuador,ECU,https://www.countryflags.io/ec/flat/64.png,1,0,-3.827378988,-7.654757975,-11.48213696,-15.30951595,-15.30951595,-15.30951595,-5.602142811,.,.,.
Colombia,COL,https://www.countryflags.io/co/flat/64.png,1,0,-6.703617573,-24.90782166,-21.55525398,-16.63728523,-18.27807617,-10.49135685,-8.060800552,-3.322952509,-3.150139093,-2.71146369
Chile,CHL,https://www.countryflags.io/cl/flat/64.png,1,0,-1.334481001,-9.129525185,-17.79525948,-21.19504166,-21.95849991,-20.64533615,-18.73826408,-15.39950848,-12.65146923,-11.44338799
Brazil,BRA,https://www.countryflags.io/br/flat/64.png,1,0,-1.58681035,-4.768968105,-8.295806885,-11.05858517,-12.46718597,-12.85241699,-12.00085354,-10.04055023,-8.677835464,-8.677835464
Argentina,ARG,https://www.countryflags.io/ar/flat/64.png,1,0,-5.186962128,-10.37392426,-15.56088638,-20.74784851,-20.74784851,-20.74784851,-11.03550816,.,.,.
Paraguay,PRY,https://www.countryflags.io/py/flat/64.png,1,0,-1.410653114,-2.821306229,-4.231959343,-5.642612457,-5.642612457,-5.642612457,-0.064647876,.,.,.
Dominican Republic,DOM,https://www.countryflags.io/do/flat/64.png,1,0,-1.949570298,-3.899140597,-5.848710895,-7.798281193,-7.798281193,-7.798281193,-6.738461018,.,.,.
Costa Rica,CRI,https://www.countryflags.io/cr/flat/64.png,1,0,-5.24095726,-10.48191452,-15.72287178,-20.96382904,-20.96382904,-18.28722763,-16.39661598,-14.96018219,-13.67142487,-11.54908466
Bolivia,BOL,https://www.countryflags.io/bo/flat/64.png,1,0,-3.612544775,-12.91138554,-15.67057514,-13.14146519,-13.86344433,-11.7771368,-6.893599033,-5.171325684,0.307238281,3.363604784
